Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
1,299489676975171584,146.71421,-1.0413043,GALAXY,,462.1176,98.78678,72.29009,205.9046,103.0551,16.14372
2,299489677444933632,146.71421,-1.0413043,GALAXY,STARFORMING,472.5904,119.4956,68.39606,224.1136,84.18053,18.59493
3,299489951853078528,146.91945,-0.99049175,GALAXY,,15.46943,8.996722,0.2009271,23.56914,6.665386,-0.8511449
4,299489952322840576,146.74413,-0.65219064,GALAXY,,3.417222,6.602319,5.172892,-2.430531,-0.4965546,3.155121
5,299490226730985472,146.90229,-0.98491332,QSO,BROADLINE,0,96.32452,88.41073,0,0,0
6,299490227200747520,146.90229,-0.98491332,QSO,BROADLINE,0,81.77763,95.65276,0,0,0
7,299490501608892416,146.85983,-0.80890165,GALAXY,,18.46744,6.541351,19.52857,11.6389,6.273335,1.590457
8,299490502078654464,146.62857,-0.76513683,GALAXY,STARFORMING,99.40005,25.64047,21.44437,51.59155,21.65778,8.490424
9,299490776486799360,146.76339,-0.81043316,GALAXY,,0,-11.28703,-1.384024,0,0,4.626935
10,299491051364706304,146.9639,-0.54500256,GALAXY,STARBURST,181.5262,47.3665,11.85567,54.13749,19.16762,4.319232
11,299491051834468352,146.63167,-0.98827781,GALAXY,STARFORMING,127.3058,38.33226,35.46671,25.78963,25.72297,6.269853
12,299491326712375296,146.91945,-0.99049175,GALAXY,,13.32324,7.017897,8.564038,13.52668,4.062315,4.218018
13,299491601120520192,146.60721,-1.240753,GALAXY,,13.80578,-1.125585,7.689462,13.12912,5.171501,0.2285186
14,299491876468189184,146.76339,-0.81043316,GALAXY,,0,6.937439,-2.642639,0,0,2.700758
15,299492150876334080,146.72794,-0.55687994,GALAXY,,40.48693,18.89721,5.567666,4.083941,-0.5160196,5.148977
16,299492151346096128,146.62282,-0.95138526,GALAXY,,0.3358569,-1.489969,-6.192745,0.1957341,0,-7.593986
17,299492425754241024,146.74413,-0.65219064,GALAXY,,-0.04876947,7.467945,1.13536,6.588124,1.725383,-0.7366995
18,299492426224003072,146.9341,-0.67040397,GALAXY,,23.06012,2.113889,2.671434,-0.28885,-0.2993763,-2.812743
19,299492700632147968,146.59272,-0.76025604,GALAXY,STARFORMING,211.5018,53.18228,15.59901,76.35482,28.47964,7.211103
20,299492701101910016,146.9639,-0.54500256,GALAXY,STARFORMING,195.5197,42.86956,16.26119,61.2213,24.30562,2.18458
21,299492975510054912,146.9341,-0.67040397,GALAXY,,45.1559,4.322529,-3.757236,-21.01479,-0.5527202,2.215544
22,299492975979816960,146.9635,-0.75935173,GALAXY,,21.55664,3.303172,17.7017,15.84072,7.073156,3.169814
23,299493250857723904,146.94999,-0.59220225,GALAXY,STARFORMING,229.1325,60.80691,29.73346,73.87218,33.85824,7.237874
24,299493525265868800,146.94999,-0.59220225,GALAXY,STARFORMING,233.1141,62.10917,35.72292,71.03431,32.56358,7.67483
25,299493800143775744,146.63167,-0.98827781,GALAXY,STARFORMING,116.8699,36.78978,32.56529,25.23568,23.1536,2.733802
26,299493800613537792,146.85983,-0.80890165,GALAXY,,11.44371,4.320487,11.25784,19.36126,6.200619,0.5923256
27,299494075021682688,146.62857,-0.76513683,GALAXY,STARFORMING,99.23278,26.19861,17.2893,49.0535,18.77828,5.045829
28,299494075491444736,146.59272,-0.76025604,GALAXY,STARFORMING,206.2126,46.94843,14.43169,74.37387,26.93752,4.169487
29,299494349899589632,146.62282,-0.95138526,GALAXY,,22.42987,-1.744769,2.745392,10.62609,0,-4.276431
30,299494350369351680,146.8577,-0.66285236,GALAXY,,29.84661,10.79047,0.2394872,10.09893,5.914584,3.174782
31,299494624777496576,146.8577,-0.66285236,GALAXY,,27.62048,5.740711,3.604091,13.0033,5.453747,26.78119
32,299494625247258624,146.72794,-0.55687994,GALAXY,,23.9577,19.10229,14.35587,11.94982,5.10035,-5.36303
33,299494899655403520,146.9635,-0.75935173,GALAXY,,22.05403,1.673159,19.35973,13.27273,5.186358,2.21756
34,299494900125165568,146.60721,-1.240753,GALAXY,,9.751845,5.708354,-10.06859,7.521489,3.144401,0.7105694
35,299495449880979456,147.18679,-0.49381256,GALAXY,,64.06422,11.11639,5.849055,45.10143,15.5901,-2.958396
36,299495724289124352,146.92403,-0.10514302,GALAXY,,12.02203,-9.345632,4.362346,5.446524,-8.197431,-0.7804948
37,299495724758886400,147.02336,-0.16009352,GALAXY,,37.98845,3.402148,4.281445,14.31235,0.8574655,1.640761
38,299495999167031296,147.02336,-0.16009352,GALAXY,,39.7061,9.77319,2.779737,25.55181,4.00624,1.55038
39,299495999636793344,146.9108,-0.074559356,GALAXY,,5.991078,-0.06764267,2.633277,2.369086,4.938416,-0.6477154
40,299496274044938240,146.9108,-0.074559356,GALAXY,,7.323459,8.018519,-0.8898049,-1.13874,2.261728,-7.087855
41,299496274514700288,146.95607,-0.34230044,GALAXY,STARFORMING,77.04804,22.93367,20.20715,58.8709,37.11067,12.49198
42,299496548922845184,146.95607,-0.34230044,GALAXY,STARFORMING,75.17068,26.23723,30.1875,66.0034,28.85622,23.24108
43,299496823800752128,146.9201,-0.30646208,GALAXY,,58.95773,8.351458,3.657607,30.143,10.20929,0.9449039
44,299496824270514176,147.17639,-0.35405684,GALAXY,STARFORMING,129.3038,47.89519,62.74385,12.78085,15.88207,1.014319
45,299497099148421120,147.11461,-0.16521837,GALAXY,,2.320016,8.378902,6.687315,0.1032325,-2.809693,-1.224121
46,299497648434472960,147.17639,-0.35405684,GALAXY,STARFORMING,95.59243,32.96618,35.02144,7.722822,16.08574,-1.042168
47,299497648904235008,147.22569,-0.29262062,GALAXY,,39.90361,9.582579,5.163755,15.94356,1.372628,3.102972
48,299498473068193792,147.32951,0.028902695,GALAXY,STARFORMING,493.3123,108.99,56.12985,314.7067,66.01417,21.15904
49,299498473537955840,147.24805,-0.035723556,GALAXY,,17.71392,4.550806,12.78992,18.44492,1.65791,1.891501
