fnu_12,fnu_60,rat_25_60,ra,dec
0.25,0.78,0.3205,22.6976,-42.4642
0.41,0.40,0.6250,22.8852,34.7660
0.25,1.16,0.3017,22.9447,33.6170
0.25,1.14,0.2193,22.9874,33.4750
0.26,0.58,0.5172,22.9266,-0.9341
0.25,0.39,0.6410,23.1432,49.3997
0.25,1.33,0.1880,23.0696,21.4112
0.28,2.42,0.1364,22.9586,-33.1192
0.25,0.42,0.5952,23.1343,35.3616
0.34,0.61,0.4098,23.0594,-33.4963
0.73,0.60,0.4667,23.2134,-14.8146
0.25,1.93,0.2021,23.2390,-16.5344
0.25,0.61,0.8033,23.2740,-7.3100
0.40,7.57,0.0859,23.3825,30.5353
1.02,0.40,0.6500,24.4497,84.4815
0.25,0.58,0.6034,23.3993,12.5892
0.25,3.01,0.1329,23.4842,42.7571
0.25,4.39,0.1002,23.4708,30.7579
0.49,10.11,0.0366,23.4751,30.6685
0.29,13.32,0.0375,23.5102,30.6429
0.36,10.11,0.1276,23.5132,30.6854
0.25,0.63,0.5079,23.5058,-1.0774
0.25,0.82,0.3049,23.6816,55.4234
1.57,1.61,0.1739,23.4912,-36.4924
0.32,0.85,0.2941,23.4997,-34.3899
0.25,1.75,0.1429,23.6511,30.6843
0.25,1.42,0.1761,23.5548,-25.5650
0.25,0.49,0.5102,23.7061,34.0356
0.74,19.57,0.1063,23.5745,-29.4198
0.25,0.54,0.4630,23.7141,21.4183
0.25,0.40,1.5500,23.6706,-15.5036
0.25,1.08,0.4722,23.7686,-7.3410
0.25,0.68,0.3676,23.1967,-79.4740
0.33,7.31,0.0958,23.7148,-36.1362
0.25,0.52,0.4808,23.9045,35.4655
0.26,5.66,0.1590,23.7801,-41.4357
0.42,1.57,0.2229,23.8937,-34.6257
0.25,1.51,0.2185,23.9988,0.6636
0.25,0.89,0.3146,24.1349,39.9220
0.25,0.87,0.2874,24.2503,42.3220
0.25,3.01,0.1329,24.1952,15.7985
0.59,5.42,0.0535,24.1008,-37.3272
0.25,0.63,0.3968,24.1116,-36.3789
0.25,0.56,0.4464,24.2197,-5.0135
0.31,0.47,0.5745,24.2968,23.2213
0.65,0.39,0.6410,24.4584,53.6616
0.32,4.94,0.1721,24.3237,5.8782
