galname;fnu_12;fnu_25;fnu_60;fnu_100;rat_12_25;rat_25_60;rat_60_100;ra;dec
01286-4243;25;25;78;215;10000;3205;3628;226976;-424642
01286+3430;41;25;40;100;16400;6250;4000;228852;347660
01289+3321;25;35;116;356;7143;3017;3258;229447;336170
01291+3313;25;25;114;321;10000;2193;3551;229874;334750
01291-0111;26;30;58;214;8667;5172;2710;229266;-9341
01295+4908;25;25;39;201;10000;6410;1940;231432;493997
01295+2109;25;25;133;245;10000;1880;5429;230696;214112
01295-3322;28;33;242;598;8485;1364;4047;229586;-331192
01296+3506;25;25;42;122;10000;5952;3443;231343;353616
01299-3345;34;25;61;181;13600;4098;3370;230594;-334963
01304-1504;73;28;60;214;26071;4667;2804;232134;-148146
01305-1647;25;39;193;489;6410;2021;3947;232390;-165344
01305-0733;25;49;61;266;5102;8033;2293;232740;-73100
01307+3016;40;65;757;3159;6154;859;2396;233825;305353
01307+8413;102;26;40;502;39231;6500;797;244497;844815
01309+1219;25;35;58;168;7143;6034;3452;233993;125892
01309+4230;25;40;301;301;6250;1329;10000;234842;427571
01310+3030;25;44;439;2361;5682;1002;1859;234708;307579
01310+3024;49;37;1011;2448;13243;366;4130;234751;306685
01312+3023;29;50;1332;311;5800;375;42830;235102;306429
01312+3025;36;129;1011;2961;2791;1276;3414;235132;306854
01314-0119;25;32;63;187;7812;5079;3369;235058;-10774
01315+5510;25;25;82;241;10000;3049;3402;236816;554234
01317-3644;157;28;161;524;56071;1739;3073;234912;-364924
01317-3438;32;25;85;261;12800;2941;3257;234997;-343899
01317+3025;25;25;175;5145;10000;1429;340;236511;306843
01318-2549;25;25;142;368;10000;1761;3859;235548;-255650
01319+3346;25;25;49;120;10000;5102;4083;237061;340356
01319-2940;74;208;1957;4914;3558;1063;3982;235745;-294198
01321+2109;25;25;54;188;10000;4630;2872;237141;214183
01322-1545;25;62;40;95;4032;15500;4211;236706;-155036
01325-0735;25;51;108;407;4902;4722;2654;237686;-73410
01326-7943;25;25;68;184;10000;3676;3696;231967;-794740
01326-3623;33;70;731;1483;4714;958;4929;237148;-361362
01327+3512;25;25;52;116;10000;4808;4483;239045;354655
01329-4141;26;90;566;870;2889;1590;6506;237801;-414357
01333-3452;42;35;157;167;12000;2229;9401;238937;-346257
01334+0024;25;33;151;287;7576;2185;5261;239988;6636
01336+3940;25;28;89;161;8929;3146;5528;241349;399220
01340+4204;25;25;87;207;10000;2874;4203;242503;423220
01340+1532;25;40;301;1197;6250;1329;2515;241952;157985
01341-3734;59;29;542;1264;20345;535;4288;241008;-373272
01342-3638;25;25;63;177;10000;3968;3559;241116;-363789
01343-0516;25;25;56;179;10000;4464;3128;242197;-50135
01344+2258;31;27;47;123;11481;5745;3821;242968;232213
01346+5324;65;25;39;1178;26000;6410;331;244584;536616
01346+0537;32;85;494;657;3765;1721;7519;243237;58782
01348-8526;26;50;324;556;5200;1543;5827;229973;-851787
01348+3254;25;25;79;107;10000;3165;7383;244178;331561
01354+3507;25;25;53;189;10000;4717;2804;245889;353744
01354+2009;43;28;61;100;15357;4590;6100;245512;204142
01355-1814;25;25;133;157;10000;1880;8471;244858;-179902
01356-4047;47;35;47;192;13429;7447;2448;244635;-405413
01358-1006;25;44;40;125;5682;11000;3200;245843;-98517
01359-2310;25;44;46;105;5682;9565;4381;245823;-229245
01360-6106;25;25;40;105;10000;6250;3810;244417;-608569
01361-3351;25;54;46;117;4630;11739;3932;246032;-336107
01362+4830;25;27;201;420;9259;1343;4786;248265;487645
01363-4016;39;25;60;224;15600;4167;2679;246384;-400185
01367-3010;31;24;249;603;12917;964;4129;247564;-299213
01367-4250;50;34;44;134;14706;7727;3284;247226;-425832
01370+0659;27;32;60;131;8438;5333;4580;249101;72393
01370-1753;25;27;55;130;9259;4909;4231;248715;-176301
01370-4722;40;35;115;376;11429;3043;3059;247852;-471280
01371+4618;66;50;40;136;13200;12500;2941;250386;465677
01375+0528;25;89;119;259;2809;7479;4595;250417;57323
01375-1506;25;27;70;176;9259;3857;3977;249991;-148617
01375+3422;25;28;126;370;8929;2222;3405;251179;346267
01375+3159;27;30;75;122;9000;4000;6148;251126;322458
01378-2230;25;29;53;100;8621;5472;5300;250564;-222516
01379+2035;39;49;59;138;7959;8305;4275;251686;208374
01379-4340;166;25;61;110;66400;4098;5545;250157;-434251
01380-2909;25;25;106;377;10000;2358;2812;250887;-289125
01380+0743;44;31;116;262;14194;2672;4427;251814;79823
01383+3433;25;30;83;168;8333;3614;4940;253119;348104
01384-7515;36;90;764;1397;4000;1178;5469;248074;-750095
01394+1220;25;36;166;506;6944;2169;3281;255394;126008
01400-1633;25;25;182;440;10000;1374;4136;256068;-162994
01401+0749;29;31;66;122;9355;4697;5410;256902;80743
01402-4746;42;25;60;131;16800;4167;4580;255737;-475274
01403+1323;201;709;6539;10374;2835;1084;6303;257594;136461
01406+0838;27;36;74;165;7500;4865;4485;258099;88896
01409+8500;25;44;258;322;5682;1705;8012;273141;852593
01410-4427;25;28;246;682;8929;1138;3607;257768;-442148
01410-3427;26;37;291;596;7027;1271;4883;258228;-342065
01412+1648;44;27;67;125;16296;4030;5360;259819;170621
01412-3343;28;57;40;87;4912;14250;4598;258682;-334738
01413-7923;104;21;40;163;49524;5250;2454;253382;-791478
01413-3357;45;61;90;195;7377;6778;4615;259012;-337056
01413+0205;29;80;127;126;3625;6299;10079;259937;23506
01415-6243;83;32;60;156;25938;5333;3846;257845;-624680
01416+1713;25;26;84;202;9615;3095;4158;260863;174777
01416+3726;25;39;213;459;6410;1831;4641;261467;376962
23531+2955;45;39;70;100;11538;5571;7000;3589326;302099
23532+2513;25;25;136;409;10000;1838;3325;3589571;255013
23534-6057;25;25;88;242;10000;2841;3636;3590187;-606727
23535+0016;25;28;65;194;8929;4308;3351;3590298;5467
23535-0111;25;48;105;283;5208;4571;3710;3590329;-9144
23536+2906;27;65;44;165;4154;14773;2667;3590385;293908
23541+1329;26;25;71;178;10400;3521;3989;3591714;137747
23542+0104;25;32;53;177;7812;6038;2994;3591981;13564
23544-3457;42;25;53;157;16800;4717;3376;3592493;-346844
23548+3043;89;30;45;146;29667;6667;3082;3593541;310017
23548+1801;44;39;123;202;11282;3171;6089;3593633;183106
23550-2216;25;30;40;169;8333;7500;2367;3593975;-219949
23552-3252;30;39;567;3339;7692;688;1698;3594526;-325905
23553-1418;25;94;65;156;2660;14462;4167;3594830;-140380
23555+4734;66;25;50;85;26400;5000;5882;3595361;478511
23560+1026;32;58;313;711;5517;1853;4402;3596409;107278
23566-0424;25;34;98;183;7353;3469;5355;3597950;-41272
23567+4636;25;25;123;416;10000;2033;2957;3598139;468894
23567+0428;25;30;87;177;8333;3448;4915;3598301;47606
23568+2028;32;64;506;1003;5000;1265;5045;3598557;207498
23570-0246;27;36;86;200;7500;4186;4300;3598979;-24980
23570+1431;104;32;136;264;32500;2353;5152;3599089;148103
23571-3444;28;52;48;165;5385;10833;2909;3599254;-344624
23574+4659;25;25;48;205;10000;5208;2341;78;472775
23576+0050;43;82;40;112;5244;20500;3571;607;11228
23577-8104;25;25;64;234;10000;3906;2735;894;-807938
23579+3230;25;25;67;91;10000;3731;7363;1238;327850
23579+2602;42;25;107;214;16800;2336;5000;1311;263236
23587+1249;25;36;210;433;6944;1714;4850;3349;131109
23589+1104;25;40;87;186;6250;4598;4677;3757;113453
23590+3316;41;45;47;116;9111;9574;4052;4001;335611
23591+2312;38;67;547;1429;5672;1225;3828;4234;234945
23594+3622;25;37;500;572;6757;740;8741;4926;366495
23594-3344;25;34;92;199;7353;3696;4623;5101;-334696
23596+0239;25;31;173;318;8065;1792;5440;5424;29428
23597+1241;25;44;329;712;5682;1337;4621;5789;129712
00000-0359;25;33;121;249;7576;2727;4859;6448;-37105
00001+0827;25;28;70;119;8929;4000;5882;6663;87373
00010+2255;25;25;74;364;10000;3378;2033;8969;232003
00012+0712;25;26;65;243;9615;4000;2675;9532;74792
00025-0405;25;105;187;334;2381;5615;5599;12787;-38072
00027-1645;33;40;258;659;8250;1550;3915;13168;-164794
00042+0821;134;49;71;256;27347;6901;2773;17075;86294
00042+0804;44;58;60;224;7586;9667;2679;17096;83450
00055+2643;38;25;143;311;15200;1748;4598;20445;270041
00059-0529;31;35;80;143;8857;4375;5594;21399;-52209
00073+2630;25;25;42;141;10000;5952;2979;24713;267918
03196+3651;25;25;45;187;10000;5556;2406;507251;370344
03197-4345;39;25;42;124;15600;5952;3387;503724;-435821
03201-1721;25;59;40;66;4237;14750;6061;506207;-171795
03202-0001;25;28;43;134;8929;6512;3209;506925;1476
03202-5150;25;51;59;100;4902;8644;5900;504216;-516571
03203-0214;70;29;40;103;24138;7250;3883;507134;-20589
03206+3830;25;25;64;181;10000;3906;3536;509738;386768
03207+3734;25;33;333;714;7576;991;4664;509933;377556
03208-3723;29;29;308;769;10000;942;4005;506775;-372071
03208-3716;35;27;358;970;12963;754;3691;506861;-371024
03211+3951;113;44;40;133;25682;11000;3008;511086;400430
03211-4221;25;17;102;181;14706;1667;5635;507348;-421862
03211+1600;25;30;172;411;8333;1744;4185;509986;161824
03213+4147;26;25;148;366;10400;1689;4044;511827;419702
03216+7240;28;25;45;132;11200;5556;3409;517484;728462
03220-3741;25;25;52;157;10000;4808;3312;509754;-375096
03220-3638;27;79;831;1430;3418;951;5811;509879;-364635
03220-1150;25;25;87;164;10000;2874;5305;511124;-116682
03225-0555;25;25;94;366;10000;2660;2568;512598;-57454
03225+4034;25;25;144;382;10000;1736;3770;514733;407522
