galname,fnu_12,fnu_25,fnu_60,fnu_100,rat_12_25,rat_25_60,rat_60_100,ra,dec
01286-4243,0.25,0.25,0.78,2.15,1.0000,0.3205,0.3628,22.6976,-42.4642
01286+3430,0.41,0.25,0.40,1.00,1.6400,0.6250,0.4000,22.8852,34.7660
01289+3321,0.25,0.35,1.16,3.56,0.7143,0.3017,0.3258,22.9447,33.6170
01291+3313,0.25,0.25,1.14,3.21,1.0000,0.2193,0.3551,22.9874,33.4750
01291-0111,0.26,0.30,0.58,2.14,0.8667,0.5172,0.2710,22.9266,-0.9341
01295+4908,0.25,0.25,0.39,2.01,1.0000,0.6410,0.1940,23.1432,49.3997
01295+2109,0.25,0.25,1.33,2.45,1.0000,0.1880,0.5429,23.0696,21.4112
01295-3322,0.28,0.33,2.42,5.98,0.8485,0.1364,0.4047,22.9586,-33.1192
01296+3506,0.25,0.25,0.42,1.22,1.0000,0.5952,0.3443,23.1343,35.3616
01299-3345,0.34,0.25,0.61,1.81,1.3600,0.4098,0.3370,23.0594,-33.4963
01304-1504,0.73,0.28,0.60,2.14,2.6071,0.4667,0.2804,23.2134,-14.8146
01305-1647,0.25,0.39,1.93,4.89,0.6410,0.2021,0.3947,23.2390,-16.5344
01305-0733,0.25,0.49,0.61,2.66,0.5102,0.8033,0.2293,23.2740,-7.3100
01307+3016,0.40,0.65,7.57,31.59,0.6154,0.0859,0.2396,23.3825,30.5353
01307+8413,1.02,0.26,0.40,5.02,3.9231,0.6500,0.0797,24.4497,84.4815
01309+1219,0.25,0.35,0.58,1.68,0.7143,0.6034,0.3452,23.3993,12.5892
01309+4230,0.25,0.40,3.01,3.01,0.6250,0.1329,1.0000,23.4842,42.7571
01310+3030,0.25,0.44,4.39,23.61,0.5682,0.1002,0.1859,23.4708,30.7579
01310+3024,0.49,0.37,10.11,24.48,1.3243,0.0366,0.4130,23.4751,30.6685
01312+3023,0.29,0.50,13.32,3.11,0.5800,0.0375,4.2830,23.5102,30.6429
01312+3025,0.36,1.29,10.11,29.61,0.2791,0.1276,0.3414,23.5132,30.6854
01314-0119,0.25,0.32,0.63,1.87,0.7812,0.5079,0.3369,23.5058,-1.0774
01315+5510,0.25,0.25,0.82,2.41,1.0000,0.3049,0.3402,23.6816,55.4234
01317-3644,1.57,0.28,1.61,5.24,5.6071,0.1739,0.3073,23.4912,-36.4924
01317-3438,0.32,0.25,0.85,2.61,1.2800,0.2941,0.3257,23.4997,-34.3899
01317+3025,0.25,0.25,1.75,51.45,1.0000,0.1429,0.0340,23.6511,30.6843
01318-2549,0.25,0.25,1.42,3.68,1.0000,0.1761,0.3859,23.5548,-25.5650
01319+3346,0.25,0.25,0.49,1.20,1.0000,0.5102,0.4083,23.7061,34.0356
01319-2940,0.74,2.08,19.57,49.14,0.3558,0.1063,0.3982,23.5745,-29.4198
01321+2109,0.25,0.25,0.54,1.88,1.0000,0.4630,0.2872,23.7141,21.4183
01322-1545,0.25,0.62,0.40,0.95,0.4032,1.5500,0.4211,23.6706,-15.5036
01325-0735,0.25,0.51,1.08,4.07,0.4902,0.4722,0.2654,23.7686,-7.3410
01326-7943,0.25,0.25,0.68,1.84,1.0000,0.3676,0.3696,23.1967,-79.4740
01326-3623,0.33,0.70,7.31,14.83,0.4714,0.0958,0.4929,23.7148,-36.1362
01327+3512,0.25,0.25,0.52,1.16,1.0000,0.4808,0.4483,23.9045,35.4655
01329-4141,0.26,0.90,5.66,8.70,0.2889,0.1590,0.6506,23.7801,-41.4357
01333-3452,0.42,0.35,1.57,1.67,1.2000,0.2229,0.9401,23.8937,-34.6257
01334+0024,0.25,0.33,1.51,2.87,0.7576,0.2185,0.5261,23.9988,0.6636
01336+3940,0.25,0.28,0.89,1.61,0.8929,0.3146,0.5528,24.1349,39.9220
01340+4204,0.25,0.25,0.87,2.07,1.0000,0.2874,0.4203,24.2503,42.3220
01340+1532,0.25,0.40,3.01,11.97,0.6250,0.1329,0.2515,24.1952,15.7985
01341-3734,0.59,0.29,5.42,12.64,2.0345,0.0535,0.4288,24.1008,-37.3272
01342-3638,0.25,0.25,0.63,1.77,1.0000,0.3968,0.3559,24.1116,-36.3789
01343-0516,0.25,0.25,0.56,1.79,1.0000,0.4464,0.3128,24.2197,-5.0135
01344+2258,0.31,0.27,0.47,1.23,1.1481,0.5745,0.3821,24.2968,23.2213
01346+5324,0.65,0.25,0.39,11.78,2.6000,0.6410,0.0331,24.4584,53.6616
01346+0537,0.32,0.85,4.94,6.57,0.3765,0.1721,0.7519,24.3237,5.8782
01348-8526,0.26,0.50,3.24,5.56,0.5200,0.1543,0.5827,22.9973,-85.1787
01348+3254,0.25,0.25,0.79,1.07,1.0000,0.3165,0.7383,24.4178,33.1561
01354+3507,0.25,0.25,0.53,1.89,1.0000,0.4717,0.2804,24.5889,35.3744
01354+2009,0.43,0.28,0.61,1.00,1.5357,0.4590,0.6100,24.5512,20.4142
01355-1814,0.25,0.25,1.33,1.57,1.0000,0.1880,0.8471,24.4858,-17.9902
01356-4047,0.47,0.35,0.47,1.92,1.3429,0.7447,0.2448,24.4635,-40.5413
01358-1006,0.25,0.44,0.40,1.25,0.5682,1.1000,0.3200,24.5843,-9.8517
01359-2310,0.25,0.44,0.46,1.05,0.5682,0.9565,0.4381,24.5823,-22.9245
01360-6106,0.25,0.25,0.40,1.05,1.0000,0.6250,0.3810,24.4417,-60.8569
01361-3351,0.25,0.54,0.46,1.17,0.4630,1.1739,0.3932,24.6032,-33.6107
01362+4830,0.25,0.27,2.01,4.20,0.9259,0.1343,0.4786,24.8265,48.7645
01363-4016,0.39,0.25,0.60,2.24,1.5600,0.4167,0.2679,24.6384,-40.0185
01367-3010,0.31,0.24,2.49,6.03,1.2917,0.0964,0.4129,24.7564,-29.9213
01367-4250,0.50,0.34,0.44,1.34,1.4706,0.7727,0.3284,24.7226,-42.5832
01370+0659,0.27,0.32,0.60,1.31,0.8438,0.5333,0.4580,24.9101,7.2393
01370-1753,0.25,0.27,0.55,1.30,0.9259,0.4909,0.4231,24.8715,-17.6301
01370-4722,0.40,0.35,1.15,3.76,1.1429,0.3043,0.3059,24.7852,-47.1280
01371+4618,0.66,0.50,0.40,1.36,1.3200,1.2500,0.2941,25.0386,46.5677
01375+0528,0.25,0.89,1.19,2.59,0.2809,0.7479,0.4595,25.0417,5.7323
01375-1506,0.25,0.27,0.70,1.76,0.9259,0.3857,0.3977,24.9991,-14.8617
01375+3422,0.25,0.28,1.26,3.70,0.8929,0.2222,0.3405,25.1179,34.6267
01375+3159,0.27,0.30,0.75,1.22,0.9000,0.4000,0.6148,25.1126,32.2458
01378-2230,0.25,0.29,0.53,1.00,0.8621,0.5472,0.5300,25.0564,-22.2516
01379+2035,0.39,0.49,0.59,1.38,0.7959,0.8305,0.4275,25.1686,20.8374
01379-4340,1.66,0.25,0.61,1.10,6.6400,0.4098,0.5545,25.0157,-43.4251
01380-2909,0.25,0.25,1.06,3.77,1.0000,0.2358,0.2812,25.0887,-28.9125
01380+0743,0.44,0.31,1.16,2.62,1.4194,0.2672,0.4427,25.1814,7.9823
01383+3433,0.25,0.30,0.83,1.68,0.8333,0.3614,0.4940,25.3119,34.8104
01384-7515,0.36,0.90,7.64,13.97,0.4000,0.1178,0.5469,24.8074,-75.0095
01394+1220,0.25,0.36,1.66,5.06,0.6944,0.2169,0.3281,25.5394,12.6008
