ra_sdss,dec_sdss,ra_iras,dec_iras,specobjid,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6548_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,class,subclass,galname,fnu_12,fnu_25,fnu_60,fnu_100,rat_12_25,rat_25_60,rat_60_100,Ejey_OHb,Ejex_NH,Ejex_SH,Ejex_OH,Log_12_25,EtiqRef
145.51241,0.33917087,145.51395,0.3375216,299595780317014016,0.006378901,153.8173,35.59267,3.656026,13.19764,39.80714,16.52884,11.71782,1.011221,b'GALAXY',b'STARBURST',09394+0033,0.35,0.5,5.16,15.08,0.7,0.09689923,0.34217507,-2.275762952617506,-1.0653834363262322,-1.6947903139766185,-5.024607022890965,-0.35667497,
167.2324,0.44480423,167.2346,0.44466087,313129123717343232,0.01290247,10285.94,3250.791,6074.062,578.0041,1743.394,1323.39,1014.631,181.0779,b'GALAXY',b'STARBURST',11063+0042,0.42,0.27,0.82,1.01,1.5555556,0.3292683,0.8118812,0.6251292226692156,-1.4886082806839724,-1.481473069118944,-4.039605867730199,0.44183278,
169.70646,0.61930757,169.70757,0.61774945,314283887213701120,0.02539067,528.2295,139.9098,34.01912,62.50361,188.5253,90.17503,59.36301,16.12341,b'GALAXY',b'STARFORMING',11162+0053,0.25,0.5,0.75,1.79,0.5,0.6666667,0.41899443,-1.4140752097576088,-0.7439627365782441,-1.2619800397354388,-3.489258595191357,-0.6931472,
170.82587,-0.9224747,170.82668,-0.92125833,315274540949202944,0.008394149,998.6539,263.6267,358.4447,54.00912,162.904,180.802,126.3506,30.19349,b'GALAXY',b'STARBURST',11207-0038,0.29,0.49,1.22,2.83,0.59183675,0.40163934,0.4310954,0.3072403069739393,-1.5269113674677397,-1.179063579682143,-3.4987819339457804,-0.52452445,
169.38707,-0.18750165,169.38559,-0.1864041,315334739210823680,0.04033846,520.622,74.79313,28.15284,74.78139,225.5579,85.62282,67.5181,26.91579,b'GALAXY',b'STARFORMING',11149+0005,0.35,0.43,0.68,2.1,0.81395346,0.63235295,0.32380953,-0.977077798246338,-0.5501114483377234,-1.223665707357883,-2.962311147354772,-0.20585209,Infrarroja
174.63863,-1.1845063,174.63847,-1.1859262,317517270093948928,0.02076628,751.4569,143.5961,33.89781,115.3187,347.8279,104.299,80.79196,18.54698,b'GALAXY',b'STARFORMING',11359-0054,0.25,0.36,0.62,1.56,0.6944444,0.58064514,0.3974359,-1.4436540869412355,-0.48397022094673237,-1.4011664756644804,-3.7017068830205435,-0.36464316,
175.55166,0.33408078,175.55125,0.3342282,318736634008856576,0.01855429,22370.13,6118.438,14895.77,1138.578,3434.215,2326.306,1747.63,414.9882,b'GALAXY',b'STARBURST',11396+0036,0.25,0.85,3.89,4.51,0.29411766,0.218509,0.8625277,0.889770444839164,-1.5876024088781684,-1.7031169785349587,-3.9872317797302697,-1.2237754,
188.79549,-0.22225629,188.7978,-0.22314066,326576151612909568,0.02263155,248.1951,69.47137,15.85301,30.81394,92.94196,35.95087,28.71294,4.47581,b'GALAXY',b'STARFORMING',12326+0003,0.25,0.36,0.66,1.67,0.6944444,0.54545456,0.39520958,-1.47755533759678,-0.6959040533522199,-1.3450134362704644,-4.015527789498319,-0.36464316,
191.38328,-0.53571473,191.38354,-0.5376765,328847737065859072,0.005418549,249.2612,81.97454,94.46296,18.33531,55.30352,49.23561,36.90862,17.59989,b'GALAXY',b'STARFORMING',12429-0015,0.25,0.61,0.72,1.54,0.40983605,0.8472222,0.46753246,0.14179908874419592,-1.2193288745024542,-1.0624783581101853,-2.6506086906122484,-0.89199805,
195.24442,-0.027537806,195.24472,-0.028736137,329909322001704960,0.003958873,5141.777,1367.658,472.858,562.433,1696.428,827.9591,626.652,70.56448,b'GALAXY',b'STARBURST',12584+0014,0.95,0.44,2.48,6.67,2.159091,0.17741935,0.3718141,-1.0620599349243123,-0.8225380356225531,-1.2626601598910698,-4.288627116799741,0.7696873,
196.91122,-0.94244866,196.91096,-0.94237334,331038520309213184,0.01807604,544.0039,153.7143,27.96414,56.71528,171.0664,80.43255,56.09916,12.45942,b'GALAXY',b'STARFORMING',13050-0040,0.4,0.3,0.88,1.5,1.3333334,0.3409091,0.58666664,-1.7041727095291612,-0.8705687895910863,-1.3823995206098234,-3.7764794526286822,0.28768212,
196.96131,-0.86774656,196.96129,-0.8698032,331040994210375680,0.01768984,1424.191,294.7296,154.5315,145.5559,439.0302,240.1769,168.4856,28.47579,b'GALAXY',b'STARBURST',13052-0036,0.4,0.31,1.14,1.84,1.2903225,0.27192983,0.6195652,-0.6456603667748156,-0.8904551367379144,-1.24846958017338,-3.91230495960772,0.25489223,
199.4937,-0.3119817,199.49306,-0.3107418,332146828013234176,0.03366574,1018.469,233.5814,74.29443,129.571,390.8162,173.3109,121.9296,23.62529,b'GALAXY',b'STARFORMING',13154-0002,0.25,0.51,2.52,4.62,0.49019608,0.20238096,0.54545456,-1.145494641935327,-0.6714826484150194,-1.238265519848735,-3.7637380498498705,-0.7129498,
202.63334,-0.60375072,202.6349,-0.6047808,334409072751175680,0.05416252,1955.455,362.9622,815.4407,456.1172,1375.755,367.5296,302.6776,103.3736,b'GALAXY',b'AGN',13279-0020,0.36,0.61,1.27,1.61,0.59016395,0.48031497,0.78881985,0.8094300066807377,-0.06528439893798292,-1.070791263606125,-2.940028571587492,-0.5273549,
200.34618,0.3424101,200.3449,0.34259313,334486588320933888,0.01842461,1465.977,135.9731,144.1201,406.602,1226.406,327.8312,271.1238,97.01822,b'GALAXY',b'AGN',13188+0036,0.32,0.7,6.99,12.74,0.45714286,0.10014306,0.54866564,0.058189907691305894,0.10790179854343485,-0.8950907232892731,-2.715378397457867,-0.7827593,
210.83645,-0.54993497,210.83551,-0.54984725,338902501610776576,0.02467262,2458.08,560.6456,67.58355,329.1099,992.6714,331.0535,253.0057,37.26402,b'GALAXY',b'STARFORMING',14007-0018,0.25,0.35,1.27,2.33,0.71428573,0.27559054,0.5450644,-2.1157243666016683,-0.6204002608208644,-1.4371334888286866,-4.189107586529474,-0.3364722,
210.83777,-0.54914586,210.83551,-0.54984725,340104813314336768,0.02447205,334.3443,85.85531,19.32132,36.79512,110.9826,47.80411,32.62294,4.687879,b'GALAXY',b'STARBURST',14007-0018,0.25,0.35,1.27,2.33,0.71428573,0.27559054,0.5450644,-1.491454288066454,-0.8164620474490196,-1.424820737964272,-4.267191058989671,-0.3364722,
213.06763,-0.63311591,213.06581,-0.633887,340031420913182720,0.02502531,86.93996,13.62428,5.083721,10.19565,30.75243,16.03545,11.89004,1.450009,b'GALAXY',b'STARFORMING',14096-0023,0.39,0.3,1.33,3.1,1.3,0.22556391,0.42903227,-0.9858100213437434,-0.7529128427201353,-1.1356778736709108,-4.093648002163351,0.26236424,
213.06501,-0.63305253,213.06581,-0.633887,341231261752256512,0.02559116,455.7794,57.80517,32.0589,66.83528,201.5906,83.7145,62.23312,22.90009,b'GALAXY',b'STARFORMING',14096-0023,0.39,0.3,1.33,3.1,1.3,0.22556391,0.42903227,-0.5895033821197418,-0.5294340968311815,-1.1387611303164404,-2.9908680798456926,0.26236424,
213.68145,-0.28222655,213.68282,-0.28308335,341201574938306560,0.03847015,2124.589,394.2098,144.1817,322.4011,972.436,408.6267,325.5916,64.72346,b'GALAXY',b'STARBURST',14121-0003,0.81,0.27,0.53,1.04,3.0,0.509434,0.50961536,-1.0058089451625627,-0.49519347617191223,-1.062527255046703,-3.4912099185030585,1.0986123,
213.61094,-0.19535215,213.60966,-0.19466707,342355787168901120,0.05299225,392.204,101.9906,54.19541,40.59058,122.4305,81.64629,61.76159,8.49274,b'GALAXY',b'STARBURST',14118+0002,0.32,0.68,0.52,1.15,0.47058824,1.3076923,0.45217392,-0.6322844336621755,-0.8779025949900013,-1.0060892347471073,-3.8325704317054576,-0.7537718,
215.61509,0.059059204,215.61314,0.058874305,342408838604941312,0.03167036,2260.623,327.8508,76.91775,290.2924,875.5891,343.1821,261.4279,58.18753,b'GALAXY',b'STARBURST',14198+0017,0.25,0.28,1.93,3.91,0.89285713,0.14507772,0.49360615,-1.449821957724251,-0.6621629857516476,-1.3188120959252436,-3.6597246473830807,-0.113328695,
217.0189,1.0063377,217.0208,1.0053998,344614734277928960,0.02566936,1028.535,249.7917,95.99457,148.9864,449.3773,186.395,137.9816,41.98228,b'GALAXY',b'STARFORMING',14255+0113,0.3,0.44,0.72,1.17,0.6818182,0.6111111,0.61538464,-0.9563357431900795,-0.5416919755994195,-1.1539855521843734,-3.1986431141603737,-0.38299224,
218.85559,0.33433494,218.85521,0.33444765,344687851801176064,0.03455789,3989.438,864.7492,264.1536,620.7256,1872.252,584.8912,487.1928,84.00715,b'GALAXY',b'STARBURST',14328+0033,0.26,0.26,0.99,1.78,1.0,0.26262626,0.55617976,-1.1859087705564242,-0.470172549508243,-1.314045951063132,-3.8605037335644785,0.0,
220.23482,-0.31817036,220.23555,-0.3188151,345669990998894592,0.005755075,3314.868,507.8084,244.873,687.7299,2074.352,718.5546,549.1714,146.3397,b'GALAXY',b'STARFORMING',14383-0006,0.57,0.8,8.32,17.25,0.7125,0.09615385,0.48231885,-0.7293645022804218,-0.18243309686724893,-0.9611930595039914,-3.120242451389358,-0.3389754,
219.46892,-0.39862871,219.47078,-0.39923647,345702151714007040,0.006427905,2653.327,586.7245,459.6169,186.0501,561.17,411.2771,299.1885,41.67085,b'GALAXY',b'STARBURST',14353-0011,0.25,0.45,3.43,6.6,0.5555556,0.13119534,0.51969695,-0.2441620576470292,-1.2672098162517087,-1.317649073475786,-4.153767759638348,-0.5877866,
221.54637,-0.22296552,221.54652,-0.2246716,346829700871514112,0.005535014,803.5585,216.1277,345.8728,282.887,853.2526,528.5646,370.5107,153.8086,b'GALAXY',b'AGN',14436-0000,0.25,0.28,0.6,2.47,0.89285713,0.46666667,0.24291497,0.4702016407116164,0.3463414900560206,0.11231680169801533,-1.6533410167156994,-0.113328695,LINER
231.65696,0.59264011,231.65732,0.59357464,352546336886777856,0.05069121,1509.225,304.3704,2897.913,394.6327,1190.303,352.6082,337.7952,134.4599,b'GALAXY',b'AGN',15240+0046,0.25,0.47,0.91,1.26,0.5319149,0.51648355,0.7222222,2.2535007209397557,0.048947564644599116,-0.7820754885821054,-2.4180855396955305,-0.6312718,Seyfert
235.4981,0.71280211,235.49799,0.7126946,354807207503620096,0.006394573,150.4484,30.57159,12.23558,14.36272,43.32129,42.70899,28.75874,11.33575,b'GALAXY',b'STARFORMING',15394+0052,0.34,0.26,0.43,1.41,1.3076923,0.60465115,0.30496454,-0.9157230455696779,-0.9586401561990193,-0.7443741491079318,-2.5856587197463696,0.26826397,
170.89667,-1.565725,170.89742,-1.5668708,367134668941715456,0.04463125,4956.979,803.9636,211.8178,747.0038,2253.136,782.1255,662.1528,131.5161,b'GALAXY',b'STARBURST',11210-0117,0.25,0.73,0.96,1.64,0.34246576,0.7604167,0.58536583,-1.3338275233376,-0.5021375950137731,-1.2331867321634038,-3.629422483994743,-1.0715836,
173.5388,-1.5951534,173.54063,-1.596736,368295751861692416,0.02256087,1469.693,245.1055,124.0427,270.9486,817.2435,212.0391,185.0202,42.16172,b'GALAXY',b'STARFORMING',11316-0119,0.3,0.63,0.66,1.21,0.47619048,0.95454544,0.54545456,-0.6810628689355527,-0.30053584009395456,-1.3087231746148793,-3.5512961140596384,-0.74193734,
175.91217,-1.6469538,175.9105,-1.6459141,370509889409148928,0.0429443,2178.482,354.3022,63.30251,286.6916,864.728,319.6256,241.9759,42.31616,b'GALAXY',b'STARBURST',11410-0122,0.25,0.31,0.68,1.22,0.8064516,0.45588234,0.55737704,-1.722225240466537,-0.637632688105645,-1.3555910593091707,-3.9412145367642797,-0.21511137,
178.8777,-1.2614167,178.87593,-1.2608167,371703139671238656,0.01927742,5208.829,1129.675,217.0928,885.8455,2671.915,806.9395,731.309,97.33469,b'GALAXY',b'STARFORMING',11529-0058,0.27,0.37,0.76,1.61,0.7297297,0.4868421,0.47204968,-1.6493603478251069,-0.38122379654539906,-1.2197106389222625,-3.9799548975491073,-0.31508106,
179.91312,-3.6814183,179.91261,-3.6836777,372730358375933952,0.01941762,1770.802,401.5419,73.32132,201.8014,608.6797,258.8668,188.0181,23.08116,b'GALAXY',b'STARBURST',11570-0324,0.39,0.5,0.96,2.01,0.78,0.5208333,0.47761193,-1.7004604605141045,-0.7815598083254592,-1.3768867632413395,-4.340171129948126,-0.2484614,
180.09621,-1.0977154,180.09647,-1.0995139,372784234445694976,0.004941233,893.149,211.5803,17.51959,69.53524,209.7343,66.49968,39.68343,12.47577,b'GALAXY',b'STARFORMING',11578-0049,0.81,1.27,16.65,46.34,0.63779527,0.07627628,0.35930082,-2.4912849120530822,-1.1625760116178567,-2.1295883636498205,-4.270965057081844,-0.44973794,
183.71352,-3.4895004,183.71371,-3.490697,373802657074145280,0.03379537,4441.042,710.481,1284.987,1224.651,3693.831,599.2844,623.1901,189.1069,b'GALAXY',b'AGN',12122-0312,0.25,0.58,3.7,4.74,0.43103448,0.15675676,0.7805907,0.5925616750982147,0.10211091271697066,-1.2900119503410405,-3.1563318489477403,-0.8415672,
183.66775,-2.4484036,183.66548,-2.447653,375033284557563904,0.02522332,368.6739,87.5827,21.44078,39.37206,118.7552,49.3099,33.75171,7.322212,b'GALAXY',b'STARFORMING',12120-0210,0.32,0.46,0.56,1.66,0.6956522,0.8214286,0.33734939,-1.4072887737165742,-0.8465123616050938,-1.4903298918819756,-3.9190000453582208,-0.36290547,
192.0544,-3.3332671,192.05508,-3.3325908,378302677114710016,0.003738148,4808.221,1358.307,319.9759,568.9114,1715.968,748.1605,548.5792,93.18887,b'GALAXY',b'STARFORMING',12456-0303,0.71,2.43,15.18,21.69,0.29218107,0.16007905,0.6998617,-1.4457486698582216,-0.7440139172749093,-1.3104739699512131,-3.9434541462574395,-1.2303816,
192.05679,-3.3327148,192.05508,-3.3325908,379506367435663360,0.003757023,11471.43,3136.074,1700.553,1402.634,4230.667,1460.049,1166.914,105.2682,b'GALAXY',b'STARBURST',12456-0303,0.71,2.43,15.18,21.69,0.29218107,0.16007905,0.6998617,-0.6120182068653766,-0.7111640028309203,-1.4740311703332234,-4.69110349618406,-1.2303816,
198.65753,-3.3076371,198.65555,-3.3065002,382821394875967488,0.04178784,1382.246,256.0322,55.09825,149.1465,449.8604,172.2795,134.1515,17.81977,b'GALAXY',b'STARFORMING',13120-0302,0.25,0.35,0.89,1.67,0.71428573,0.39325842,0.5329341,-1.5361852626008405,-0.8361918741335673,-1.506472383698012,-4.351156476268207,-0.3364722,Infrarroja
200.60886,-2.4182707,200.60913,-2.4180813,383973403150804992,0.02319018,3593.997,809.8279,124.5564,494.6266,1491.908,452.4842,369.6613,62.19915,b'GALAXY',b'STARFORMING',13198-0209,0.25,0.33,1.16,2.2,0.75757575,0.28448275,0.5272727,-1.8720631305819417,-0.5928732399470574,-1.4751028459271087,-4.056678898561712,-0.27763176,
236.7518,-0.98489841,236.75108,-0.9867295,385114146481399808,0.02974186,1228.768,238.0331,42.41592,163.4754,493.0796,133.6054,82.26322,33.013,b'GALAXY',b'STARFORMING',15444-0049,0.25,0.34,0.78,2.3,0.7352941,0.43589744,0.33913043,-1.7248859761674409,-0.6267608525454178,-1.7390973384976678,-3.616865897100982,-0.30748472,
238.20342,-0.52491841,238.203,-0.5235759,386267809073620992,0.07957811,1073.56,209.8395,47.94415,149.8504,451.9835,141.7525,104.0147,33.47515,b'GALAXY',b'STARFORMING',15502-0022,0.25,0.43,0.78,1.79,0.5813953,0.55128205,0.43575418,-1.4763061609868746,-0.578754014082792,-1.4743507612940219,-3.46793213517605,-0.5423243,
