Row#;specobjid;ra;dec;class;subclass;h_alpha_flux;h_beta_flux;oiii_5007_flux;nii_6584_flux;sii_6731_flux;oi_6300_flux
1;299489676975171000.0;14671421.0;-10413043.0;GALAXY;;4621176.0;9878678.0;7229009.0;2059046.0;1030551.0;1614372.0
2;299489677444933000.0;14671421.0;-10413043.0;GALAXY;STARFORMING;4725904.0;1194956.0;6839606.0;2241136.0;8418053.0;1859493.0
3;299489951853078000.0;14691945.0;-.990;GALAXY;;1546943.0;8996722.0;.201;2356914.0;6665386.0;-.851
4;299489952322840000.0;14674413.0;-.652;GALAXY;;3417222.0;6602319.0;5172892.0;-2430531.0;-.497;3155121.0
5;299490226730985000.0;14690229.0;-.985;QSO;BROADLINE;.0;9632452.0;8841073.0;.0;.0;.0
6;299490227200747000.0;14690229.0;-.985;QSO;BROADLINE;.0;8177763.0;9565276.0;.0;.0;.0
7;299490501608892000.0;14685983.0;-.809;GALAXY;;1846744.0;6541351.0;1952857.0;116389.0;6273335.0;1590457.0
8;299490502078654000.0;14662857.0;-.765;GALAXY;STARFORMING;9940005.0;2564047.0;2144437.0;5159155.0;2165778.0;8490424.0
9;299490776486799000.0;14676339.0;-.810;GALAXY;;.0;-1128703.0;-1384024.0;.0;.0;4626935.0
10;299491051364706000.0;1469639.0;-.545;GALAXY;STARBURST;1815262.0;473665.0;1185567.0;5413749.0;1916762.0;4319232.0
11;299491051834468000.0;14663167.0;-.988;GALAXY;STARFORMING;1273058.0;3833226.0;3546671.0;2578963.0;2572297.0;6269853.0
12;299491326712375000.0;14691945.0;-.990;GALAXY;;1332324.0;7017897.0;8564038.0;1352668.0;4062315.0;4218018.0
13;299491601120520000.0;14660721.0;-1240753.0;GALAXY;;1380578.0;-1125585.0;7689462.0;1312912.0;5171501.0;.229
14;299491876468189000.0;14676339.0;-.810;GALAXY;;.0;6937439.0;-2642639.0;.0;.0;2700758.0
15;299492150876334000.0;14672794.0;-.557;GALAXY;;4048693.0;1889721.0;5567666.0;4083941.0;-.516;5148977.0
16;299492151346096000.0;14662282.0;-.951;GALAXY;;.336;-1489969.0;-6192745.0;.196;.0;-7593986.0
17;299492425754241000.0;14674413.0;-.652;GALAXY;;-.049;7467945.0;113536.0;6588124.0;1725383.0;-.737
18;299492426224003000.0;1469341.0;-.670;GALAXY;;2306012.0;2113889.0;2671434.0;-.289;-.299;-2812743.0
